category,filename,expected,brightness_value,brightness_status,blur_value,blur_status
rppg_window,frame_0108.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0109.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0110.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0111.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0112.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0113.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0114.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0115.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0116.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0117.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0118.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0119.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0120.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0121.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0122.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0123.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0124.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0125.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0126.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0127.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0128.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0129.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0130.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0131.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0132.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0133.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0134.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0135.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0136.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0137.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0138.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0139.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0140.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0141.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0142.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0143.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0144.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0145.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0146.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0147.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0148.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0149.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0000.jpg,n/a,152.23,pass,94.72,fail
rppg_window_photo_attack,frame_0001.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0002.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0003.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0004.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0005.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0006.jpg,n/a,152.23,pass,94.73,fail
rppg_window_photo_attack,frame_0007.jpg,n/a,152.23,pass,94.72,fail
rppg_window_photo_attack,frame_0008.jpg,n/a,152.23,pass,94.71,fail
rppg_window_photo_attack,frame_0009.jpg,n/a,152.23,pass,94.72,fail
rppg_window_photo_attack,frame_0010.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0011.jpg,n/a,152.23,pass,94.73,fail
rppg_window_photo_attack,frame_0012.jpg,n/a,152.23,pass,94.68,fail
rppg_window_photo_attack,frame_0013.jpg,n/a,152.23,pass,94.73,fail
rppg_window_photo_attack,frame_0014.jpg,n/a,152.23,pass,94.7,fail
rppg_window_photo_attack,frame_0015.jpg,n/a,152.23,pass,94.71,fail
